,,,,,,,,,
Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation
Away,W,1,0,Athletic Club,67,"44,737",Dani Alves,4-3-3,4-2-3-1
Home,W,1,0,Málaga,75,"80,812",Andrés Iniesta,4-3-3,4-4-2
Away,W,2,1,Atlético Madrid,69,"53,491",Andrés Iniesta,4-3-3,4-4-2
Home,W,4,1,Levante,70,"76,013",Lionel Messi,4-2-3-1,5-3-2
Away,L,1,4,Celta Vigo,56,"23,311",Andrés Iniesta,4-3-3,4-4-2
Home,W,2,1,Las Palmas,67,"74,196",Lionel Messi,4-3-3,5-3-2
Away,L,1,2,Sevilla,63,"39,374",Sergio Busquets,4-3-3,4-2-3-1
Home,W,5,2,Rayo Vallecano,45,"75,472",Sergio Busquets,4-3-3,4-2-3-1
Home,W,3,1,Eibar,69,"78,228",Sergio Busquets,4-3-3,4-2-3-1
Away,W,2,0,Getafe,71,"10,089",Claudio Bravo,4-3-3,4-4-2
Home,W,3,0,Villarreal,64,"74,109",Andrés Iniesta,4-3-3,4-5-1
Away,W,4,0,Real Madrid,59,"80,500",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,4,0,Real Sociedad,56,"74,020",Andrés Iniesta,4-3-3,4-4-2
Away,D,1,1,Valencia,71,"46,799",Andrés Iniesta,4-3-3,4-3-3
Home,D,2,2,La Coruña,69,"67,194",Andrés Iniesta,4-3-3,4-3-1-2
Home,W,4,0,Betis,63,"83,630",Lionel Messi,4-3-3,4-4-2
Away,D,0,0,Espanyol,73,"28,975",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,4,0,Granada,67,"70,720",Lionel Messi,4-3-3,5-3-2
Home,W,6,0,Athletic Club,77,"68,019",Andrés Iniesta,4-3-3,4-2-3-1
Away,W,2,1,Málaga,66,"27,559",Andrés Iniesta,4-3-3,4-4-2
Home,W,2,1,Atlético Madrid,71,"94,990",Andrés Iniesta,4-3-3,4-4-1-1
Away,W,2,0,Levante,70,"22,638",Andrés Iniesta,4-3-3,4-3-3
Home,W,6,1,Celta Vigo,64,"72,580",Andrés Iniesta,4-3-3,4-3-3
Away,W,3,1,Sporting Gijón,78,"28,140",Lionel Messi,4-3-3,4-2-3-1
Away,W,2,1,Las Palmas,53,"26,951",Andrés Iniesta,4-3-3,4-1-4-1
Home,W,2,1,Sevilla,68,"79,684",Lionel Messi,4-3-3,4-2-3-1
Away,W,5,1,Rayo Vallecano,64,"14,430",Andrés Iniesta,4-3-3,4-2-3-1
Away,W,4,0,Eibar,69,"6,100",Lionel Messi,4-3-3,4-4-2
Home,W,6,0,Getafe,70,"87,533",Andrés Iniesta,4-3-3,4-4-2
Away,D,2,2,Villarreal,68,"24,398",Lionel Messi,4-3-3,4-4-2
Home,L,1,2,Real Madrid,68,"3,665",Andrés Iniesta,4-3-3,4-3-3
Away,L,0,1,Real Sociedad,74,"27,895",Lionel Messi,4-3-3,4-3-3
Home,L,1,2,Valencia,69,"88,667",Andrés Iniesta,4-3-3,4-5-1
Away,W,8,0,La Coruña,66,"28,956",Andrés Iniesta,4-3-3,4-3-1-2
Home,W,6,0,Sporting Gijón,72,"77,299",Andrés Iniesta,4-3-3,4-2-3-1
Away,W,2,0,Betis,74,"40,467",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,5,0,Espanyol,68,"91,610",Andrés Iniesta,4-3-3,4-3-3
