Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation
Home,W,6,2,Betis,73,"65,731",Lionel Messi,4-3-3,5-3-2
Away,W,1,0,Athletic Club,63,"46,635",Lionel Messi,4-3-3,4-2-3-1
Home,L,1,2,Alavés,75,"74,237",Sergio Busquets,4-3-3,5-4-1
Away,W,5,1,Leganés,63,"10,958",Andrés Iniesta,3-4-3,4-3-3
Home,D,1,1,Atlético Madrid,70,"89,421",Andrés Iniesta,4-3-3,4-2-3-1
Away,W,5,0,Sporting Gijón,61,"26,098",Sergio Busquets,4-3-3,4-2-3-1
Away,L,3,4,Celta Vigo,65,"20,901",Sergio Busquets,4-3-3,4-2-3-1
Home,W,4,0,La Coruña,71,"83,553",Gerard Piqué,3-4-3,4-4-2
Away,W,3,2,Valencia,70,"46,770",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,1,0,Granada,72,"82,914",Lionel Messi,4-3-3,5-4-1
Away,W,2,1,Sevilla,52,"40,812",Lionel Messi,4-3-3,4-1-4-1
Home,D,0,0,Málaga,81,"83,439",Sergio Busquets,4-3-3,5-4-1
Away,D,1,1,Real Sociedad,48,"27,756",Lionel Messi,4-3-3,4-3-3
Home,D,1,1,Real Madrid,55,"98,485",Lionel Messi,4-3-3,4-2-3-1
Away,W,3,0,Osasuna,81,"17,349",Andrés Iniesta,4-3-3,4-4-2
Home,W,4,1,Espanyol,67,"79,370",Andrés Iniesta,4-3-3,4-4-2
Away,D,1,1,Villarreal,70,"22,893",Andrés Iniesta,4-3-3,4-4-2
Home,W,5,0,Las Palmas,61,"81,480",Lionel Messi,4-3-3,4-4-1-1
Away,W,4,0,Eibar,62,"6,340",Lionel Messi,4-3-3,4-2-3-1
Away,D,1,1,Betis,66,"43,790",Lionel Messi,4-3-3,5-3-2
Home,W,3,0,Athletic Club,54,"83,884",Lionel Messi,4-3-3,4-2-3-1
Away,W,6,0,Alavés,70,"19,840",Lionel Messi,4-3-3,4-4-2
Home,W,2,1,Leganés,72,"63,378",Lionel Messi,4-3-3,4-5-1
Away,W,2,1,Atlético Madrid,64,"52,573",Lionel Messi,3-4-3◆,4-4-2
Home,W,6,1,Sporting Gijón,74,"56,605",Lionel Messi,3-4-3,4-5-1
Home,W,5,0,Celta Vigo,64,"77,117",Lionel Messi,3-4-3,4-2-3-1
Away,L,1,2,La Coruña,71,"28,474",Lionel Messi,3-4-3,4-2-3-1
Home,W,4,2,Valencia,72,"78,675",Andrés Iniesta,3-4-3◆,4-3-3
Away,W,4,1,Granada,67,"18,676",Sergio Busquets,4-1-4-1,5-3-2
Home,W,3,0,Sevilla,56,"85,511",Andrés Iniesta,3-4-3◆,5-4-1
Away,L,0,2,Málaga,67,"28,314",Lionel Messi,4-3-3,5-3-2
Home,W,3,2,Real Sociedad,53,"81,704",Lionel Messi,4-1-2-1-2◆,4-2-3-1
Away,W,3,2,Real Madrid,58,"81,044",Andrés Iniesta,4-3-1-2,4-3-3
Home,W,7,1,Osasuna,77,"63,989",Lionel Messi,3-1-4-2,4-5-1
Away,W,3,0,Espanyol,66,"31,708",Lionel Messi,4-3-3,4-4-2
Home,W,4,1,Villarreal,67,"90,463",Andrés Iniesta,4-3-3,4-4-2
Away,W,4,1,Las Palmas,61,"22,268",Andrés Iniesta,4-3-3,4-1-4-1
