Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Away,L,0,1,Athletic Club,0.9,0.5,71,"47,693",Gerard Piqué,4-3-3,4-2-3-1
Home,W,5,2,Betis,2.6,0.2,70,"79,159",Sergio Busquets,4-3-3,4-4-2
Away,D,2,2,Osasuna,0.4,1.8,73,"16,742",Sergio Busquets,4-3-3,4-4-2
Home,W,5,2,Valencia,2.4,1.5,64,"81,617",Sergio Busquets,4-3-3,4-4-2
Away,L,0,2,Granada,0.5,1.9,73,"18,880",Gerard Piqué,4-3-3,4-2-3-1
Home,W,2,1,Villarreal,0.5,0.6,57,"70,316",Lionel Messi,4-3-3,4-2-3-1
Away,W,2,0,Getafe,1.3,1.0,61,"15,135",Sergio Busquets,4-3-3,4-4-2
Home,W,4,0,Sevilla,2.1,2.5,56,"81,331",Lionel Messi,4-3-3,4-3-3
Away,W,3,0,Eibar,1.5,0.3,56,"7,295",Lionel Messi,4-3-3,4-4-2
Home,W,5,1,Valladolid,2.7,1.1,61,"59,896",Lionel Messi,4-3-3,3-4-1-2
Away,L,1,3,Levante,2.3,1.0,64,"23,341",Lionel Messi,4-3-3,4-4-2
Home,W,4,1,Celta Vigo,1.4,0.4,60,"71,209",Lionel Messi,4-3-3,5-3-2
Away,W,2,1,Leganés,1.7,0.4,76,"12,110",Lionel Messi,4-2-3-1,5-4-1
Away,W,1,0,Atlético Madrid,0.9,1.4,65,"64,226",Lionel Messi,4-3-3,4-4-2
Home,W,5,2,Mallorca,3.7,1.3,66,"71,072",Lionel Messi,4-3-3,4-4-1-1
Away,D,2,2,Real Sociedad,1.2,2.7,47,"36,639",Lionel Messi,4-3-3,4-1-4-1
Home,D,0,0,Real Madrid,0.9,0.8,52,"93,426",Lionel Messi,4-3-3,4-1-2-1-2
Home,W,4,1,Alavés,1.3,0.4,69,"63,054",Lionel Messi,4-3-3,4-4-1-1
Away,D,2,2,Espanyol,2.2,0.7,69,"33,562",Lionel Messi,4-3-3,4-4-2
Home,W,1,0,Granada,1.2,0.2,81,"65,444",Lionel Messi,3-1-4-2,4-2-3-1
Away,L,0,2,Valencia,1.1,1.2,73,"45,882",Lionel Messi,3-1-4-2,4-4-2
Home,W,2,1,Levante,3.4,1.4,67,"60,295",Lionel Messi,4-3-3,4-4-2
Away,W,3,2,Betis,1.7,1.0,70,"54,526",Lionel Messi,4-1-2-1-2◆,4-1-4-1
Home,W,2,1,Getafe,1.8,1.3,75,"89,409",Lionel Messi,4-3-3,4-4-2
Home,W,5,0,Eibar,4.3,0.5,69,"66,970",Lionel Messi,4-3-3,4-2-3-1
Away,L,0,2,Real Madrid,1.5,1.1,56,"78,357",Lionel Messi,4-4-2,4-1-4-1
Home,W,1,0,Real Sociedad,2.2,0.5,54,"77,035",Lionel Messi,4-3-3,4-2-3-1
Away,W,4,0,Mallorca,2.2,1.1,64,,Lionel Messi,4-3-3,4-4-2
Home,W,2,0,Leganés,1.6,0.8,75,,Lionel Messi,4-3-3,5-3-2
Away,D,0,0,Sevilla,0.8,0.8,64,,Lionel Messi,4-4-2,4-3-3
Home,W,1,0,Athletic Club,1.8,0.4,73,,Lionel Messi,4-3-3,4-2-3-1
Away,D,2,2,Celta Vigo,1.5,1.9,67,,Lionel Messi,4-3-3,3-5-2
Home,D,2,2,Atlético Madrid,1.9,1.9,72,,Lionel Messi,4-3-1-2,4-4-2
Away,W,4,1,Villarreal,2.4,0.9,68,,Lionel Messi,4-1-2-1-2◆,4-4-2
Home,W,1,0,Espanyol,1.0,0.9,74,,Lionel Messi,4-3-1-2,5-3-2
Away,W,1,0,Valladolid,0.9,1.2,64,,Lionel Messi,4-1-2-1-2◆,4-3-1-2
Home,L,1,2,Osasuna,1.1,0.8,79,,Lionel Messi,4-3-3,5-3-2
